"SalePrice","GrLivArea","LotArea","OverallQual","GarageArea","TotalBsmtSF","YearBuilt"
140000,1069,4043,6,440,1069,1977
108500,960,6000,4,308,960,1920
268000,2217,15865,8,621,2217,1970
237000,1829,9548,7,613,941,2003
156500,1478,8400,6,442,1478,1957
144000,1344,9503,5,484,1024,1958
162500,1232,11120,6,516,1232,1984
206300,1344,7060,7,784,1344,1997
172500,1258,3922,7,648,1258,2006
207500,1600,16321,5,319,1484,1957
109900,1196,4800,4,440,1196,1916
127000,1475,2665,5,336,757,1977
208900,1352,4230,7,466,1352,2006
170000,1328,16905,5,308,1350,1959
127500,864,9100,6,300,864,1959
97000,864,10500,4,576,864,1971
260000,1524,23595,7,586,1332,1979
140000,1164,9600,7,528,1164,1969
190000,1453,5271,7,445,1453,1986
340000,2450,16545,8,1069,1284,1998
110000,813,5684,6,270,813,1930
145000,1712,8393,5,588,1626,1959
280000,1836,11362,8,862,1836,2004
245500,1288,14963,8,500,1260,1996
100000,987,1680,6,264,483,1973
313000,2153,11050,9,736,1440,2000
135000,1469,10320,6,216,756,1906
121000,952,8854,6,192,952,1916
219500,1928,8200,7,434,847,2003
244400,2403,24090,7,349,1032,1940
86000,691,5400,5,216,691,1920
131500,848,4435,6,420,848,2003
234000,2080,10918,7,282,1276,1926
611657,2364,12919,9,820,2330,2009
72500,720,6627,3,287,0,1949
260000,2417,16059,8,462,1288,1991
181000,1604,10839,6,470,926,1997
149000,1004,11241,6,480,1004,1970
155000,1839,7700,6,442,756,1966
142500,1141,13072,6,484,1141,2005
132500,999,7758,5,264,999,1962
131400,1144,10000,5,264,864,1961
131000,902,8885,5,484,864,1983
237000,2031,9473,8,577,1128,2002
88000,1092,1680,6,264,525,1971
440000,1976,14977,8,908,1976,2006
145000,2002,6270,5,871,1001,1949
277500,1561,7313,9,556,1561,2005
111250,864,12735,4,576,864,1972
309000,2452,13418,8,691,1117,2004
140000,1214,9170,5,461,1214,1965
144000,1524,11344,5,315,874,1958
306000,1704,11478,8,772,1704,2007
360000,1944,12378,9,708,1896,2003
215000,2093,20544,7,542,791,1986
179200,1575,8012,6,529,1575,1992
200000,1700,9135,6,544,1682,2003
225000,1733,12394,7,433,847,2003
120500,778,6900,5,924,740,1940
134432,1588,17120,4,680,0,1959
158000,2119,10448,6,583,689,1972
143000,923,8012,6,264,923,1980
260400,1720,10593,7,527,1720,1996
293077,1646,9520,8,800,1638,2007
130000,1708,3363,7,380,976,2004
325000,2775,13500,10,880,1237,1893
84500,754,6780,6,0,520,1935
191000,2555,11526,6,672,588,1922
372402,1710,13891,8,866,1710,2007
107400,1605,5790,3,379,840,1915
187500,2087,12205,6,444,832,1966
160000,1308,9600,5,256,728,1940
105000,1374,5400,4,338,840,1920
149900,894,9800,5,552,894,1972
112000,960,8926,4,288,672,1956
392000,1419,8089,8,567,1419,2007
128950,1225,9320,4,0,950,1959
154000,1060,8246,5,270,1060,1968
224000,1358,6371,7,484,1358,2009
100000,968,8520,5,480,968,1923
131000,1716,11409,5,281,768,1949
119000,988,7200,5,276,876,1950
174000,1537,8400,6,462,1319,1962
210000,1635,8737,6,440,1065,1923
87500,1040,8544,3,400,0,1949
336000,2612,12203,8,676,1225,1998
118500,2230,6204,4,440,795,1912
122500,1365,1920,5,440,765,1971
173733,1224,3000,6,528,612,2009
147000,1344,10690,5,468,672,1920
235000,1525,9100,7,541,1525,2000
115000,864,8172,5,572,864,1955
84900,930,11100,4,308,0,1946
180000,1337,5395,8,462,1337,1993
214900,1894,11316,7,510,817,2002
79000,774,4270,3,0,544,1931
225000,1983,10762,7,490,978,1999
136905,1680,11500,5,528,1680,1976
161750,1392,10900,6,299,689,1977
118964,1535,7018,5,410,0,1979
165000,1382,2651,7,490,673,2000
241000,1550,8125,7,438,1092,2006
129000,864,7200,5,720,864,1950
278000,2524,9600,8,542,2524,1981
269500,1968,12003,8,680,774,2009
79000,1096,9600,6,0,572,1924
151000,1200,3182,7,480,600,2004
164700,1250,4251,7,528,625,2006
113000,988,21750,5,520,988,1954
134000,1211,8250,5,322,952,1968
175000,1412,11457,6,576,1392,1988
119000,948,8190,4,280,948,1954
165000,1977,9500,6,540,816,1964
272000,1601,11423,8,670,1581,2001
240000,1953,53107,6,501,1580,1992
145000,1138,10482,6,264,588,1958
194500,1232,7314,7,632,1232,2007
310000,2520,14541,8,796,1338,1993
194000,1220,7406,7,632,1199,2006
235000,2108,13728,6,540,1127,1935
172500,1683,11184,6,440,918,1978
264561,1567,3982,8,648,1520,2006
163000,1362,10197,6,504,1362,1961
155835,1456,11103,7,440,728,2006
115000,1005,10434,4,672,1005,1955
142000,1056,8450,5,304,1056,1968
274000,1518,12677,8,588,1518,2003
96500,789,10594,5,200,768,1926
173000,1291,2887,6,431,1291,1996
129000,1120,6970,4,544,1040,1961
177000,1470,13869,6,388,794,1997
168000,1622,32463,4,1356,1249,1961
192500,1555,3182,7,430,1373,2005
285000,1668,11248,9,702,1626,2002
179900,1552,11475,6,434,713,1975
125000,1728,9100,5,504,1728,1963
253293,2042,12704,8,1390,2042,2008
143500,1268,9286,5,252,1268,1977
270000,1959,9000,8,1025,1088,2006
126000,1134,8160,5,240,756,1940
168000,1437,14175,5,576,1188,1956
166000,1385,8520,5,720,910,1952
147000,1120,8402,5,0,1120,2007
248000,2285,11000,8,648,969,2000
115000,1771,21750,5,336,0,1960
150000,1053,8973,5,750,1008,1958
141000,1100,12493,4,312,1100,1960
275000,1742,6563,8,564,1742,1985
133000,1040,7500,5,308,1040,1963
173900,1500,8846,6,564,750,2005
124500,816,8314,5,264,816,1982
315500,1620,12898,9,912,1620,2007
311872,1726,9416,7,786,1726,2007
156000,1073,10289,5,515,1073,1965
119000,804,7200,5,240,788,1940
155000,1052,8816,6,440,1010,1971
174000,1484,12589,6,390,742,2005
127000,1507,7910,5,404,1075,1960
310000,2007,11003,10,812,1017,2008
187100,1430,16285,7,605,1413,2001
324000,1719,10846,8,473,1719,1993
165500,1661,9600,6,377,992,1955
108000,996,13907,5,0,996,1940
143000,1328,9790,6,528,1328,1963
167500,1394,9735,5,400,384,2006
102000,1522,6000,5,0,1008,1926
138500,1052,8400,5,288,1052,1968
113000,1487,8741,6,220,735,1945
130500,1479,13517,6,475,725,1976
91500,1218,1680,6,0,672,1971
137500,1181,10012,4,588,1138,1972
118000,1128,9000,5,286,936,1954
160000,1687,57200,5,572,747,1948
159000,1394,9500,6,514,1394,1963
214000,1535,10171,7,532,1517,2004
140000,1136,9200,6,384,1136,1965
165000,1383,13284,5,354,1383,1954
318000,1694,12030,8,818,1694,2007
79900,1198,5586,6,0,901,1920
165000,1350,10140,6,478,1064,1974
312500,1800,14331,8,765,1800,2002
244000,2110,11160,7,522,2110,1968
320000,1905,11670,9,788,1905,2006
107500,1347,7000,5,0,1117,1910
287090,1578,9262,8,840,1573,2008
246578,1500,4045,7,648,1356,2006
152000,1040,12464,5,576,1040,1996
175000,1446,21872,7,406,729,1996
129500,2058,9600,6,396,735,1917
135000,1048,10152,5,286,1048,1956
173000,1626,2268,7,474,764,2003
185000,1470,9765,6,420,680,1993
131500,1795,12150,5,352,1050,1954
167000,1277,10628,7,526,1277,1970
282922,1464,15256,8,754,1485,2007
120000,1130,10800,5,720,1120,1920
85000,1112,2592,5,336,536,1976
140000,1482,12155,6,400,672,1925
79900,747,5825,4,528,600,1926
115000,1517,8500,5,0,793,1919
187750,1301,7200,7,572,1293,2006
261500,1872,11885,8,531,1299,2001
121600,1230,4712,4,305,747,1946
254900,1947,12552,7,678,991,2004
124000,1144,9204,5,336,1144,1963
122000,900,9819,5,280,882,1967
228950,1786,164660,5,529,1499,1965
271900,2196,14684,7,701,2158,1990
210000,2073,13175,6,500,1542,1978
150750,1327,7388,5,624,1063,1959
136500,1694,8400,6,576,1181,1925
171500,1279,10125,6,473,1196,1977
163000,1261,9120,6,433,1261,1958
93000,1387,6000,5,256,811,1954
325000,2622,12256,8,712,1463,1994
145900,2200,8777,5,0,1272,1900
274970,2201,19690,6,432,697,1966
160000,1472,10784,7,402,384,1991
204000,1501,10335,7,577,1490,1999
139000,1250,5362,5,552,661,1910
235000,1625,4750,8,538,1573,2006
135000,980,7064,5,484,980,1977
182000,1428,11639,7,480,1428,2007
85000,1526,8470,3,0,1013,1915
155000,1135,7200,7,576,560,1936
155000,1803,13125,5,484,1134,1957
267000,2452,16226,8,683,1028,1998
124500,1960,7596,5,400,960,1952
168000,1742,17671,8,424,916,1882
116000,1250,8248,5,280,686,1918
257500,1839,14442,6,416,1477,1957
120000,1217,10762,6,288,626,1980
177000,1913,7558,6,342,896,1928
108000,948,8978,5,300,948,1968
260000,1734,11645,7,660,1734,2005
154500,1068,8414,6,264,1059,1963
214000,1933,14598,6,668,894,2007
299800,2715,8963,8,831,1142,1976
140000,1717,9550,7,642,756,1915
229000,2183,13837,7,786,1204,1988
195000,1948,12393,7,434,847,2004
145000,1092,8250,6,504,1092,1964
359100,3194,12168,8,380,965,1934
345000,2324,11924,9,736,1175,2005
87000,840,4388,5,0,672,1930
281000,1970,11065,8,753,1085,2006
84500,1140,17217,5,0,1140,2006
175500,1626,2628,7,474,764,2003
163900,1482,9125,7,392,384,1992
108480,1073,5400,5,326,1073,1921
132000,928,13300,5,252,928,1956
134000,1080,9187,6,484,1084,1983
170000,1173,10625,7,528,1053,1974
147000,1322,2308,6,440,855,1974
191000,1479,9382,7,577,1468,1999
236000,1949,9938,7,574,1050,1993
58500,864,8212,3,200,864,1914
149350,1228,8544,5,271,1228,1966
239900,1801,10463,8,800,893,2005
325000,2504,11198,9,656,1122,2005
190000,1969,11952,7,534,808,1977
295000,3493,18386,7,870,1470,1880
168500,1350,9020,6,520,1248,1964
